"assessment","assessor","representation.A","representation.B","selected.at","completed","Selected.representation","Select.best.duration","Select.best.SEQ","Select.best.SEQ.duration","total.duration"
"Aantallen Schatten","Observer17",19,18,"2017/01/16 15:53:52",1,19,4,5,2,6
"Aantallen Schatten","Observer17",25,17,"2017/01/16 15:46:59",1,25,4,3,3,7
"Aantallen Schatten","Observer13",28,11,"2017/01/12 11:00:05",1,28,6,3,6,12
"Aantallen Schatten","Observer17",20,15,"2017/01/17 15:38:35",1,20,6,6,3,9
"Aantallen Schatten","Observer08",21,10,"2016/12/15 16:56:07",1,21,3,2,2,5
"Aantallen Schatten","Observer02",12,23,"2016/12/21 09:31:18",1,23,8,3,4,12
"Aantallen Schatten","Observer16",13,22,"2017/01/17 14:19:08",1,22,2,1,4,6
"Aantallen Schatten","Observer10",16,26,"2016/12/22 10:35:02",1,26,3,6,1,4
"Aantallen Schatten","Observer10",24,27,"2016/12/20 15:41:58",1,27,13,7,2,15
"Aantallen Schatten","Observer11",29,14,"2017/01/03 15:10:49",1,29,4,4,2,6
"Aantallen Schatten","Observer06",27,18,"2016/12/22 14:38:19",1,27,2,5,3,5
"Aantallen Schatten","Observer01",14,28,"2016/12/19 20:16:24",1,28,3,1,1,4
"Aantallen Schatten","Observer02",19,24,"2016/12/21 09:32:58",1,19,15,6,2,17
"Aantallen Schatten","Observer01",13,11,"2016/12/19 20:04:48",1,13,4,6,2,6
"Aantallen Schatten","Observer15",20,21,"2017/01/09 18:46:03",1,20,15,7,2,17
"Aantallen Schatten","Observer03",25,16,"2016/12/19 17:45:39",1,25,3,3,2,5
"Aantallen Schatten","Observer02",22,15,"2016/12/21 12:36:40",1,22,9,3,79,88
"Aantallen Schatten","Observer05",17,23,"2017/01/11 18:45:20",1,23,3,4,3,6
"Aantallen Schatten","Observer10",12,29,"2016/12/20 15:35:41",1,29,2,1,2,4
"Aantallen Schatten","Observer17",26,10,"2017/01/16 15:49:06",1,26,4,1,2,6
"Aantallen Schatten","Observer13",17,14,"2017/01/11 18:18:27",1,17,6,2,4,10
"Aantallen Schatten","Observer15",10,23,"2017/01/09 18:59:34",1,23,3,2,5,8
"Aantallen Schatten","Observer11",19,25,"2017/01/06 12:29:07",1,25,3,6,1,4
"Aantallen Schatten","Observer11",22,24,"2017/01/06 12:25:13",1,22,4,6,2,6
"Aantallen Schatten","Observer15",12,28,"2017/01/09 18:56:13",1,28,2,1,7,9
"Aantallen Schatten","Observer05",13,20,"2017/01/11 18:53:36",1,20,3,6,6,9
"Aantallen Schatten","Observer05",26,29,"2016/12/19 09:31:16",1,26,0,6,12,12
"Aantallen Schatten","Observer13",18,21,"2017/01/11 18:25:03",1,21,10,7,4,14
"Aantallen Schatten","Observer08",11,16,"2016/12/15 17:11:51",1,16,3,3,2,5
"Aantallen Schatten","Observer01",15,27,"2016/12/19 20:18:52",1,27,5,5,3,8
"Aantallen Schatten","Observer05",27,29,"2017/01/11 18:49:41",1,27,5,7,2,7
"Aantallen Schatten","Observer03",28,16,"2016/12/19 17:42:32",1,28,3,1,2,5
"Aantallen Schatten","Observer16",25,15,"2017/01/11 11:21:48",1,25,4,2,2,6
"Aantallen Schatten","Observer10",20,23,"2016/12/22 10:39:09",1,20,5,7,4,9
"Aantallen Schatten","Observer01",10,22,"2016/12/19 20:19:58",1,22,2,2,2,4
"Aantallen Schatten","Observer07",24,26,"2017/01/02 15:40:43",1,26,16,7,4,20
"Aantallen Schatten","Observer06",14,19,"2016/12/23 14:03:42",1,19,2,6,2,4
"Aantallen Schatten","Observer02",18,13,"2016/12/21 12:26:27",1,18,6,4,2,8
"Aantallen Schatten","Observer11",17,21,"2016/12/20 14:25:07",1,21,3,3,1,4
"Aantallen Schatten","Observer01",12,11,"2016/12/19 20:24:42",1,11,5,7,4,9
"Aantallen Schatten","Observer05",19,16,"2016/12/19 09:36:43",1,19,14,6,3,17
"Aantallen Schatten","Observer15",29,17,"2017/01/09 18:57:57",1,29,3,2,4,7
"Aantallen Schatten","Observer01",25,22,"2016/12/19 20:10:27",1,25,9,5,2,11
"Aantallen Schatten","Observer10",18,12,"2016/12/22 11:27:13",1,18,3,6,3,6
"Aantallen Schatten","Observer17",28,27,"2017/01/16 15:57:56",1,28,4,7,3,7
"Aantallen Schatten","Observer08",10,13,"2016/12/15 16:49:39",1,13,5,3,4,9
"Aantallen Schatten","Observer10",11,15,"2016/12/22 10:35:07",1,15,3,5,2,5
"Aantallen Schatten","Observer11",26,14,"2017/01/06 12:23:42",1,26,3,3,2,5
"Aantallen Schatten","Observer01",24,23,"2016/12/19 20:19:35",1,23,6,7,3,9
"Aantallen Schatten","Observer17",21,19,"2017/01/16 15:45:33",1,19,5,5,4,9
"Aantallen Schatten","Observer01",12,20,"2016/12/18 23:20:08",1,20,3,4,3,6
"Aantallen Schatten","Observer01",21,23,"2016/12/18 23:19:52",1,23,5,6,2,7
"Aantallen Schatten","Observer07",28,25,"2017/01/02 15:41:09",1,25,3,5,3,6
"Aantallen Schatten","Observer06",26,20,"2017/01/10 09:42:34",1,26,1,1,2,3
"Aantallen Schatten","Observer01",22,29,"2016/12/19 20:24:50",1,29,4,6,3,7
"Aantallen Schatten","Observer06",14,10,"2017/01/05 12:03:40",1,14,2,6,2,4
"Aantallen Schatten","Observer03",15,18,"2016/12/19 14:55:21",1,15,17,7,3,20
"Aantallen Schatten","Observer02",16,17,"2016/12/21 12:38:19",1,16,7,6,3,10
"Aantallen Schatten","Observer13",13,24,"2017/01/11 18:28:38",1,24,4,2,2,6
"Aantallen Schatten","Observer06",11,27,"2016/12/23 14:02:52",1,27,1,1,2,3
"Aantallen Schatten","Observer15",25,21,"2017/01/09 18:27:26",1,25,5,4,4,9
"Aantallen Schatten","Observer16",29,16,"2017/01/17 14:21:13",1,29,2,2,2,4
"Aantallen Schatten","Observer13",11,24,"2017/01/12 11:08:58",1,24,3,3,4,7
"Aantallen Schatten","Observer16",19,10,"2017/01/17 14:20:09",1,19,1,2,2,3
"Aantallen Schatten","Observer06",13,27,"2017/01/05 12:03:50",1,27,2,7,2,4
"Aantallen Schatten","Observer03",26,17,"2016/12/19 17:46:22",1,26,4,3,2,6
"Aantallen Schatten","Observer05",14,20,"2016/12/19 09:37:05",1,20,7,5,3,10
"Aantallen Schatten","Observer17",15,28,"2017/01/16 15:53:59",1,28,4,4,3,7
"Aantallen Schatten","Observer16",18,23,"2017/01/13 18:43:43",1,23,3,3,3,6
"Aantallen Schatten","Observer06",22,12,"2016/12/23 14:03:36",1,22,2,4,3,5
"Aantallen Schatten","Observer03",22,21,"2016/12/19 14:54:56",1,22,13,6,2,15
"Aantallen Schatten","Observer02",11,19,"2016/12/21 10:09:39",1,19,179,3,2,181
"Aantallen Schatten","Observer01",28,13,"2016/12/19 20:15:36",1,28,3,2,4,7
"Aantallen Schatten","Observer10",15,26,"2016/12/22 11:29:35",1,26,1,4,3,4
"Aantallen Schatten","Observer01",25,12,"2016/12/19 20:20:47",1,25,5,3,2,7
"Aantallen Schatten","Observer14",27,16,"2017/01/13 17:12:11",1,27,4,5,2,6
"Aantallen Schatten","Observer06",18,14,"2016/12/26 14:28:14",1,18,3,7,6,9
"Aantallen Schatten","Observer16",17,20,"2017/01/13 14:35:22",1,20,3,2,1,4
"Aantallen Schatten","Observer10",24,10,"2016/12/22 11:27:45",1,24,4,4,4,8
"Aantallen Schatten","Observer16",29,23,"2017/01/13 14:36:54",1,29,2,5,2,4
"Aantallen Schatten","Observer06",12,16,"2016/12/23 14:03:14",1,16,2,4,2,4
"Aantallen Schatten","Observer15",27,14,"2017/01/09 18:55:42",1,27,3,2,1,4
"Aantallen Schatten","Observer13",24,25,"2017/01/11 20:40:07",1,25,18,7,0,18
"Aantallen Schatten","Observer14",26,19,"2017/01/13 17:19:56",1,19,3,7,1,4
