"","assessment","assessor","representation.A","representation.B","selected.at","completed","Selected.representation","Select.best.duration","Select.best.SEQ","Select.best.SEQ.duration","total.duration"
"27410","Aantallen Schatten","Observer01",18,16,"2016/12/19 16:07:17",1,"18","5",5,"3",8
"27409","Aantallen Schatten","Observer01",16,25,"2016/12/19 16:07:01",1,"25","6",2,"10",16
"28142","Aantallen Schatten","Observer02",24,11,"2016/12/21 09:30:31",1,"24","4",2,"3",7
"27402","Aantallen Schatten","Observer03",22,27,"2016/12/19 17:39:25",1,"27","9",6,"1",10
"27401","Aantallen Schatten","Observer03",14,10,"2016/12/19 15:39:16",1,"14","3",1,"2",5
"27399","Aantallen Schatten","Observer03",12,13,"2016/12/19 15:39:11",1,"13","0",6,"3",3
"27400","Aantallen Schatten","Observer03",19,13,"2016/12/19 17:56:32",1,"19","3",1,"1",4
"27398","Aantallen Schatten","Observer03",21,29,"2016/12/19 15:38:43",1,"29","6",2,"0",6
"27397","Aantallen Schatten","Observer03",22,24,"2016/12/19 15:38:32",1,"22","31",7,"1",32
"27396","Aantallen Schatten","Observer03",20,27,"2016/12/19 15:37:59",1,"27","12",6,"2",14
"27395","Aantallen Schatten","Observer03",26,15,"2016/12/19 15:37:44",1,"26","4",3,"3",7
"27394","Aantallen Schatten","Observer03",11,10,"2016/12/19 15:37:39",1,"10","10",7,"2",12
"27393","Aantallen Schatten","Observer03",23,16,"2016/12/19 15:37:23",1,"23","19",2,"5",24
"27392","Aantallen Schatten","Observer03",25,18,"2016/12/19 15:37:02",1,"25","4",4,"1",5
"27391","Aantallen Schatten","Observer03",17,28,"2016/12/19 15:36:57",1,"28","4",2,"1",5
"27390","Aantallen Schatten","Observer03",11,24,"2016/12/19 15:36:52",1,"24","2",1,"2",4
"27389","Aantallen Schatten","Observer03",15,13,"2016/12/19 15:36:48",1,"15","2",1,"2",4
"27388","Aantallen Schatten","Observer03",12,25,"2016/12/19 15:36:44",1,"25","2",1,"1",3
"27387","Aantallen Schatten","Observer03",10,21,"2016/12/19 15:36:41",1,"21","2",1,"1",3
"27386","Aantallen Schatten","Observer03",29,23,"2016/12/19 15:36:37",1,"29","4",2,"1",5
"27385","Aantallen Schatten","Observer03",18,14,"2016/12/19 15:36:32",1,"18","3",2,"2",5
"27384","Aantallen Schatten","Observer03",17,20,"2016/12/19 15:36:26",1,"20","5",3,"2",7
"27383","Aantallen Schatten","Observer03",16,22,"2016/12/19 15:36:19",1,"22","3",2,"2",5
"27382","Aantallen Schatten","Observer03",27,19,"2016/12/19 15:36:14",1,"27","23",7,"1",24
"27381","Aantallen Schatten","Observer03",26,28,"2016/12/19 15:35:49",1,"28","3",2,"3",6
"26937","Aantallen Schatten","Observer04",11,16,"NA",0,"NA","0",-1,"NA",0
"26936","Aantallen Schatten","Observer04",27,22,"2016/12/16 16:54:01",1,"22","13",7,"3",16
"26935","Aantallen Schatten","Observer04",24,19,"2016/12/16 16:53:46",1,"24","37",7,"3",40
"26934","Aantallen Schatten","Observer04",26,23,"2016/12/16 16:53:05",1,"26","12",7,"3",15
"26933","Aantallen Schatten","Observer04",21,28,"2016/12/16 16:52:49",1,"28","7",7,"3",10
"26932","Aantallen Schatten","Observer04",14,15,"2016/12/16 16:52:39",1,"15","20",7,"2",22
"26931","Aantallen Schatten","Observer04",25,13,"2016/12/16 16:52:16",1,"25","12",5,"3",15
"26930","Aantallen Schatten","Observer04",11,18,"2016/12/16 16:52:01",1,"18","12",1,"2",14
"26929","Aantallen Schatten","Observer04",20,17,"2016/12/16 16:51:45",1,"20","5",5,"5",10
"26928","Aantallen Schatten","Observer04",29,22,"2016/12/16 16:51:36",1,"29","22",7,"3",25
"26927","Aantallen Schatten","Observer04",10,27,"2016/12/16 16:51:11",1,"27","11",2,"3",14
"26926","Aantallen Schatten","Observer04",12,16,"2016/12/16 16:50:57",1,"16","5",2,"3",8
"27293","Aantallen Schatten","Observer05",28,10,"2016/12/19 09:29:39",1,"28","5",6,"4",9
"27292","Aantallen Schatten","Observer01",13,24,"2016/12/19 16:06:53",1,"24","16",2,"3",19
"27291","Aantallen Schatten","Observer01",14,11,"2016/12/18 23:20:17",1,"14","5",6,"4",9
"27290","Aantallen Schatten","Observer01",12,20,"2016/12/18 23:20:08",1,"20","3",4,"3",6
"27289","Aantallen Schatten","Observer01",15,17,"2016/12/18 23:20:03",1,"17","7",6,"3",10
"27288","Aantallen Schatten","Observer01",21,23,"2016/12/18 23:19:52",1,"23","5",6,"2",7
"27287","Aantallen Schatten","Observer01",11,25,"2016/12/18 23:19:45",1,"25","3",4,"2",5
"27286","Aantallen Schatten","Observer01",24,22,"2016/12/18 23:19:38",1,"24","4",3,"4",8
"27285","Aantallen Schatten","Observer01",27,12,"2016/12/18 23:19:32",1,"27","6",2,"2",8
"27284","Aantallen Schatten","Observer01",29,17,"2016/12/18 23:19:23",1,"29","3",3,"1",4
"27283","Aantallen Schatten","Observer01",26,13,"2016/12/18 23:19:19",1,"26","4",1,"2",6
"27282","Aantallen Schatten","Observer01",14,19,"2016/12/18 23:19:12",1,"19","7",5,"2",9
"27281","Aantallen Schatten","Observer01",20,18,"2016/12/18 23:19:04",1,"18","4",5,"2",6
"27280","Aantallen Schatten","Observer01",21,16,"2016/12/18 23:18:55",1,"21","7",4,"4",11
"27279","Aantallen Schatten","Observer01",15,28,"2016/12/18 23:18:47",1,"28","3",2,"2",5
"27278","Aantallen Schatten","Observer01",10,23,"2016/12/18 23:18:41",1,"23","4",3,"3",7
"27277","Aantallen Schatten","Observer01",18,25,"2016/12/18 23:18:33",1,"25","7",5,"3",10
"27276","Aantallen Schatten","Observer01",11,19,"2016/12/18 23:18:22",1,"19","6",4,"2",8
"27275","Aantallen Schatten","Observer01",22,20,"2016/12/18 23:18:12",1,"22","8",6,"4",12
"27274","Aantallen Schatten","Observer01",27,16,"2016/12/18 23:18:00",1,"27","4",2,"3",7
"27273","Aantallen Schatten","Observer01",14,24,"2016/12/18 23:17:54",1,"24","3",1,"2",5
"27272","Aantallen Schatten","Observer01",28,17,"2016/12/18 23:17:47",1,"28","3",1,"4",7
"27271","Aantallen Schatten","Observer01",29,23,"2016/12/18 23:17:40",1,"29","5",5,"4",9
"27270","Aantallen Schatten","Observer01",12,10,"2016/12/18 23:17:26",1,"12","7",3,"8",15
"27269","Aantallen Schatten","Observer01",15,26,"2016/12/18 23:17:16",1,"26","6",2,"3",9
"27419","Aantallen Schatten","Observer01",19,20,"2016/12/19 16:08:24",1,"19","5",7,"2",7
"27418","Aantallen Schatten","Observer01",28,24,"2016/12/19 16:08:16",1,"24","9",7,"1",10
"27416","Aantallen Schatten","Observer01",11,26,"2016/12/19 16:08:06",1,"26","3",3,"2",5
"27415","Aantallen Schatten","Observer01",17,12,"2016/12/19 16:07:59",1,"17","5",5,"3",8
"27414","Aantallen Schatten","Observer01",23,27,"2016/12/19 16:07:51",1,"27","7",5,"2",9
"27413","Aantallen Schatten","Observer01",19,22,"2016/12/19 16:07:42",1,"22","5",5,"2",7
"27412","Aantallen Schatten","Observer01",10,28,"2016/12/19 16:07:35",1,"28","3",1,"1",4
"27411","Aantallen Schatten","Observer01",29,26,"2016/12/19 16:07:28",1,"26","7",7,"3",10
"26925","Aantallen Schatten","Observer04",20,14,"2016/12/16 16:50:48",1,"20","6",3,"3",9
"26924","Aantallen Schatten","Observer04",25,22,"2016/12/16 16:50:37",1,"25","20",7,"5",25
"26923","Aantallen Schatten","Observer04",26,11,"2016/12/16 16:50:12",1,"26","4",2,"4",8
"26922","Aantallen Schatten","Observer04",10,15,"2016/12/16 16:50:04",1,"15","22",2,"4",26
"26921","Aantallen Schatten","Observer04",27,23,"2016/12/16 16:49:38",1,"23","5",5,"3",8
"26920","Aantallen Schatten","Observer04",18,24,"2016/12/16 16:49:31",1,"24","9",5,"2",11
"26919","Aantallen Schatten","Observer04",19,17,"2016/12/16 16:49:19",1,"19","22",7,"3",25
"26918","Aantallen Schatten","Observer04",21,29,"2016/12/16 16:48:53",1,"29","7",2,"4",11
"26917","Aantallen Schatten","Observer04",13,12,"2016/12/16 16:48:43",1,"13","12",3,"3",15
"26916","Aantallen Schatten","Observer04",16,28,"2016/12/16 16:48:29",1,"28","10",6,"2",12
"26915","Aantallen Schatten","Observer04",20,18,"2016/12/16 16:48:16",1,"20","13",6,"2",15
"26914","Aantallen Schatten","Observer04",29,25,"2016/12/16 16:48:00",1,"25","16",7,"2",18
"26913","Aantallen Schatten","Observer04",12,26,"2016/12/16 16:47:41",1,"12","11",2,"3",14
"26912","Aantallen Schatten","Observer04",13,27,"2016/12/16 16:47:27",1,"27","8",2,"4",12
"26911","Aantallen Schatten","Observer04",28,10,"2016/12/16 16:47:15",1,"28","5",2,"2",7
"26910","Aantallen Schatten","Observer04",14,24,"2016/12/16 16:47:08",1,"24","11",6,"2",13
"26909","Aantallen Schatten","Observer04",22,19,"2016/12/16 16:46:54",1,"22","12",7,"2",14
"26908","Aantallen Schatten","Observer04",11,21,"2016/12/16 16:46:40",1,"21","6",1,"3",9
"26907","Aantallen Schatten","Observer04",15,16,"2016/12/16 16:46:31",1,"15","21",7,"2",23
"26906","Aantallen Schatten","Observer04",17,23,"2016/12/16 16:46:08",1,"23","18",7,"2",20
"26905","Aantallen Schatten","Observer04",18,14,"2016/12/16 16:45:48",1,"18","20",6,"2",22
"26904","Aantallen Schatten","Observer04",19,25,"2016/12/16 16:45:19",1,"25","23",3,"10",33
"26903","Aantallen Schatten","Observer04",20,24,"2016/12/16 16:44:53",1,"20","43",7,"2",45
"26902","Aantallen Schatten","Observer04",12,11,"2016/12/16 16:44:08",1,"12","9",3,"2",11
"26901","Aantallen Schatten","Observer04",16,26,"2016/12/16 16:43:57",1,"26","20",6,"2",22
"26900","Aantallen Schatten","Observer04",22,28,"2016/12/16 16:43:33",1,"22","17",7,"4",21
"26899","Aantallen Schatten","Observer04",27,21,"2016/12/16 16:43:13",1,"27","11",4,"3",14
"26898","Aantallen Schatten","Observer04",17,10,"2016/12/16 16:42:58",1,"17","10",3,"4",14
"26897","Aantallen Schatten","Observer04",23,13,"2016/12/16 16:42:45",1,"23","12",1,"3",15
"27421","Aantallen Schatten","Observer01",29,15,"2016/12/19 16:08:38",1,"29","3",2,"2",5
"27422","Aantallen Schatten","Observer01",25,10,"2016/12/19 16:08:43",1,"25","3",2,"2",5
"27420","Aantallen Schatten","Observer01",21,18,"2016/12/19 16:08:32",1,"21","5",6,"2",7
"27380","Aantallen Schatten","Observer03",14,20,"2016/12/19 15:35:44",1,"20","2",1,"1",3
"27379","Aantallen Schatten","Observer03",23,27,"2016/12/19 15:35:39",1,"27","5",2,"2",7
"27378","Aantallen Schatten","Observer03",25,21,"2016/12/19 15:35:33",1,"25","5",1,"2",7
"27377","Aantallen Schatten","Observer03",26,12,"2016/12/19 15:35:26",1,"26","4",1,"1",5
"27376","Aantallen Schatten","Observer03",15,28,"2016/12/19 15:35:20",1,"28","3",1,"2",5
"27375","Aantallen Schatten","Observer03",16,24,"2016/12/19 15:35:15",1,"24","4",6,"3",7
"27374","Aantallen Schatten","Observer03",19,11,"2016/12/19 15:35:09",1,"19","2",1,"2",4
"27373","Aantallen Schatten","Observer03",22,18,"2016/12/19 15:35:04",1,"22","4",2,"1",5
"27372","Aantallen Schatten","Observer03",13,17,"2016/12/19 15:34:58",1,"17","4",2,"2",6
"29165","Aantallen Schatten","Observer06",21,10,"2016/12/23 14:03:02",1,"21","3",4,"4",7
"27363","Aantallen Schatten","Observer03",29,10,"2016/12/19 15:34:52",1,"29","5",1,"2",7
"27362","Aantallen Schatten","Observer03",20,11,"2016/12/19 14:57:09",1,"20","3",2,"2",5
"27361","Aantallen Schatten","Observer03",23,19,"2016/12/19 14:57:03",1,"19","12",7,"3",15
"27360","Aantallen Schatten","Observer03",12,17,"2016/12/19 14:56:48",1,"17","2",1,"2",4
"27359","Aantallen Schatten","Observer03",21,18,"2016/12/19 14:56:43",1,"21","5",5,"3",8
"27358","Aantallen Schatten","Observer03",29,26,"2016/12/19 14:56:36",1,"29","8",7,"2",10
"27357","Aantallen Schatten","Observer03",14,24,"2016/12/19 14:56:26",1,"24","3",1,"1",4
"27356","Aantallen Schatten","Observer03",13,16,"2016/12/19 14:56:18",1,"16","3",2,"5",8
"27355","Aantallen Schatten","Observer03",27,15,"2016/12/19 14:56:14",1,"27","2",1,"2",4
"27354","Aantallen Schatten","Observer03",22,25,"2016/12/19 14:56:09",1,"25","2",3,"3",5
"27353","Aantallen Schatten","Observer03",28,10,"2016/12/19 14:56:04",1,"28","4",1,"2",6
"27352","Aantallen Schatten","Observer03",24,20,"2016/12/19 14:55:56",1,"20","11",6,"4",15
"27351","Aantallen Schatten","Observer03",14,11,"2016/12/19 14:55:42",1,"14","4",1,"1",5
"27350","Aantallen Schatten","Observer03",17,27,"2016/12/19 14:55:36",1,"27","3",2,"2",5
"27349","Aantallen Schatten","Observer03",16,12,"2016/12/19 14:55:31",1,"16","3",2,"2",5
"27348","Aantallen Schatten","Observer03",19,25,"2016/12/19 14:55:26",1,"25","2",1,"2",4
"27347","Aantallen Schatten","Observer03",15,18,"2016/12/19 14:55:21",1,"15","17",7,"3",20
"27346","Aantallen Schatten","Observer03",13,23,"2016/12/19 14:55:02",1,"23","4",2,"2",6
"27345","Aantallen Schatten","Observer03",22,21,"2016/12/19 14:54:56",1,"22","13",6,"2",15
"27703","Aantallen Schatten","Observer01",12,29,"2016/12/19 20:03:12",1,"29","4",2,"2",6
"27343","Aantallen Schatten","Observer03",28,29,"2016/12/19 14:54:39",1,"29","42",6,"3",45
"27600","Aantallen Schatten","Observer03",12,29,"2016/12/19 17:52:42",1,"29","2",1,"2",4
"27342","Aantallen Schatten","Observer03",26,10,"2016/12/19 14:53:53",1,"26","5",1,"4",9
"27332","Aantallen Schatten","Observer05",11,17,"2016/12/23 16:14:34",1,"17","8",5,"2",10
"27331","Aantallen Schatten","Observer05",21,13,"2016/12/19 09:38:39",1,"21","7",6,"3",10
"27330","Aantallen Schatten","Observer05",29,25,"2016/12/19 09:38:29",1,"25","7",7,"2",9
"27329","Aantallen Schatten","Observer05",27,14,"2016/12/19 09:38:19",1,"27","7",5,"2",9
"27328","Aantallen Schatten","Observer05",10,16,"2016/12/19 09:38:09",1,"16","5",4,"2",7
"27327","Aantallen Schatten","Observer05",12,20,"2016/12/19 09:38:01",1,"20","7",6,"2",9
"27326","Aantallen Schatten","Observer05",15,28,"2016/12/19 09:37:50",1,"28","6",6,"3",9
"27325","Aantallen Schatten","Observer05",23,24,"2016/12/19 09:37:41",1,"24","7",6,"3",10
"27324","Aantallen Schatten","Observer05",18,22,"2016/12/19 09:37:30",1,"22","10",6,"3",13
"27323","Aantallen Schatten","Observer05",26,19,"2016/12/19 09:37:17",1,"26","9",5,"3",12
"27322","Aantallen Schatten","Observer05",14,20,"2016/12/19 09:37:05",1,"20","7",5,"3",10
